window,marker,n_neg,median_neg,n_pos,median_pos,p_value,AUC,q_BH,sig_BH
+/-12m,GGT,50,15.0000,15,28.0000,0.0111,0.7180,0.0443,True
+/-12m,TGO_AST,49,26.0000,15,25.0000,0.9494,0.5061,0.9494,False
+/-12m,TGP_ALT,49,25.0000,15,27.0000,0.3535,0.5803,0.5646,False
+/-12m,AST_ALT_ratio,49,1.0357,15,0.8889,0.4234,0.4306,0.5646,False
+/-24m,GGT,51,15.0000,16,24.0000,0.0334,0.6777,0.1336,False
+/-24m,TGO_AST,50,25.5000,17,24.0000,0.9712,0.5035,0.9712,False
+/-24m,TGP_ALT,50,24.0000,17,25.0000,0.4111,0.5676,0.6643,False
+/-24m,AST_ALT_ratio,50,1.0364,17,0.9000,0.4982,0.4441,0.6643,False
+/-6m,GGT,45,15.0000,14,31.0000,0.0110,0.7270,0.0442,True
+/-6m,TGO_AST,45,25.0000,14,24.5000,0.8865,0.4865,0.8865,False
+/-6m,TGP_ALT,45,25.0000,14,26.0000,0.5209,0.5579,0.6946,False
+/-6m,AST_ALT_ratio,45,1.0333,14,0.8876,0.2616,0.3992,0.5231,False
