var,n0,med0,n1,med1,p,q_BH,sig_BH
GGT_med,77,13.0,26,21.5,0.01282217578204327,0.07693305469225963,False
AST_med,77,24.0,26,25.0,0.41820200400070107,0.5018424048008413,False
ALT_med,77,23.0,26,28.0,0.23449864654941088,0.4312859753551193,False
VCM_med,77,87.65,26,87.80000000000001,0.5872215217808574,0.6406052964882081,False
AST_ALT,77,1.027027027027027,26,0.9331436699857752,0.1981264653433944,0.4312859753551193,False
HBA1C_med,77,5.35,26,5.1,0.0055336013097029265,0.06640321571643512,False
GLI_med,75,83.0,26,81.0,0.023796256395126163,0.09518502558050465,False
HEMO_med,77,13.2,26,13.525,0.1926696121235726,0.4312859753551193,False
PLT_med,77,247.0,26,258.5,0.3503749712876154,0.4671666283834872,False
TG_med,77,77.0,26,88.5,0.2515834856238196,0.4312859753551193,False
HDL_med,77,57.5,26,58.0,0.834542942188002,0.834542942188002,False
LDL_med,77,94.0,26,89.5,0.3071212703892915,0.46068190558393723,False
